time_stamp,handle,back_-2_post,back_-1_post,text,forward_1_post,forward_2_post,guess_who
2001-12-03 18:50:17,*** Chat Server,2001-12-03 18:48:42 Hero: Not that we use the public side of the boards.,2001-12-03 18:48:44 Vavalion: 'Tis very slow...,*** Chat Server has warned Vavalion for being slow.,2001-12-03 18:51:20 Hero: We were on a roll with chatting those past few days.. Maybe it'll pick up again.,2001-12-03 18:51:43 Vavalion: *Shoots Chat Server*,
2002-01-17 22:57:57,*** Chat Server,2002-01-17 22:57:52 Dark Paladin: WITH A VENGEANCE!!!! [Dum Dum DUUUUUUUUUUUM!],2002-01-17 22:57:56 Jester: Grr!!!,*** Chat server says shut the fuck up and don't question me!,2002-01-17 22:58:01 Dark Paladin: Crnon  DP,2002-01-17 22:58:03 Jester: DP  Crnon,
2002-03-29 14:02:48,*** Chat Server,2002-03-29 13:56:11 Vavalion: ?,2002-03-29 13:56:26 Janus: ? indeed.,*** Chat Room Shutdown at Fri Mar 29 14:02:48 2002,2002-03-29 14:03:24 *** Chat Server: *** Chat Room Started at Fri Mar 29 14:03:24 2002,2002-03-29 14:05:39 Janus: [tongue],
2002-03-29 14:03:24,*** Chat Server,2002-03-29 13:56:26 Janus: ? indeed.,2002-03-29 14:02:48 *** Chat Server: *** Chat Room Shutdown at Fri Mar 29 14:02:48 2002,*** Chat Room Started at Fri Mar 29 14:03:24 2002,2002-03-29 14:05:39 Janus: [tongue],2002-03-29 14:08:14 Vavalion: Ohhhhhhhhhhhhhkaaaaaaaaaaaaay......,
2002-03-29 14:17:34,*** Chat Server,2002-03-29 14:05:39 Janus: [tongue],2002-03-29 14:08:14 Vavalion: Ohhhhhhhhhhhhhkaaaaaaaaaaaaay......,*** Chat Room Started at Fri Mar 29 14:17:34 2002,2002-03-29 14:18:28 *** Chat Server: *** Chat Room Shutdown at Fri Mar 29 14:18:28 2002,2002-03-29 14:18:50 *** Chat Server: *** Chat Room Started at Fri Mar 29 14:18:50 2002,
2002-03-29 14:18:28,*** Chat Server,2002-03-29 14:08:14 Vavalion: Ohhhhhhhhhhhhhkaaaaaaaaaaaaay......,2002-03-29 14:17:34 *** Chat Server: *** Chat Room Started at Fri Mar 29 14:17:34 2002,*** Chat Room Shutdown at Fri Mar 29 14:18:28 2002,2002-03-29 14:18:50 *** Chat Server: *** Chat Room Started at Fri Mar 29 14:18:50 2002,"2002-03-29 14:22:27 Janus: Boku no kakera ga miemasu ka? Kono tozasareta sekai demo, anata e no inori nara todoiteiru hazu...",
2002-03-29 14:18:50,*** Chat Server,2002-03-29 14:17:34 *** Chat Server: *** Chat Room Started at Fri Mar 29 14:17:34 2002,2002-03-29 14:18:28 *** Chat Server: *** Chat Room Shutdown at Fri Mar 29 14:18:28 2002,*** Chat Room Started at Fri Mar 29 14:18:50 2002,"2002-03-29 14:22:27 Janus: Boku no kakera ga miemasu ka? Kono tozasareta sekai demo, anata e no inori nara todoiteiru hazu...",2002-03-29 14:22:32 Janus: This song rules. [tongue],
2002-03-29 14:28:50,*** Chat Server,"2002-03-29 14:22:27 Janus: Boku no kakera ga miemasu ka? Kono tozasareta sekai demo, anata e no inori nara todoiteiru hazu...",2002-03-29 14:22:32 Janus: This song rules. [tongue],*** Chat Room Shutdown at Fri Mar 29 14:28:50 2002,2002-03-29 14:29:23 *** Chat Server: *** Chat Room Started at Fri Mar 29 14:29:23 2002,2002-03-29 14:29:37 Darrow: No.,
2002-03-29 14:29:23,*** Chat Server,2002-03-29 14:22:32 Janus: This song rules. [tongue],2002-03-29 14:28:50 *** Chat Server: *** Chat Room Shutdown at Fri Mar 29 14:28:50 2002,*** Chat Room Started at Fri Mar 29 14:29:23 2002,2002-03-29 14:29:37 Darrow: No.,2002-03-29 14:31:00 Janus: LOL. [tongue],
2002-04-11 23:31:26,*** Chat Server,2002-04-11 23:31:04 Red Leader: [NOT CLICKING ON ANY LINK FOR PERSONAL SAFETY],2002-04-11 23:31:18 Jester: Everyone shoudl be blinded by the sight of my ass in jeans. ,*** Chat Room Shutdown at Thu Apr 11 23:31:26 2002,2002-04-11 23:31:31 *** Chat Server: *** Chat Room Started at Thu Apr 11 23:31:31 2002,2002-04-11 23:31:37 Darrow: Damn right!,
2002-04-11 23:31:31,*** Chat Server,2002-04-11 23:31:18 Jester: Everyone shoudl be blinded by the sight of my ass in jeans. ,2002-04-11 23:31:26 *** Chat Server: *** Chat Room Shutdown at Thu Apr 11 23:31:26 2002,*** Chat Room Started at Thu Apr 11 23:31:31 2002,2002-04-11 23:31:37 Darrow: Damn right!,2002-04-11 23:31:50 Psi-Amy: Eh?!,
